Event Name,Status
uops_dispatched.port_5_11,Successful
uops_dispatched.port_6,Successful
uops_dispatched.port_7_8,Successful
uops_executed.core,Successful
uops_executed.core_cycles_ge_1,Successful
uops_executed.core_cycles_ge_2,Successful
uops_executed.core_cycles_ge_3,Successful
uops_executed.core_cycles_ge_4,Successful
uops_executed.cycles_ge_1,Successful
uops_executed.cycles_ge_2,Successful
uops_executed.cycles_ge_3,Successful
uops_executed.cycles_ge_4,Successful
uops_executed.stalls,Successful
uops_executed.thread,Successful
uops_issued.any,Successful
uops_issued.cycles,Successful
uops_retired.cycles,Successful
uops_retired.heavy,Successful
uops_retired.slots,Successful
uops_retired.stalls,Successful
duration_time,Successful
num_cores,Successful
num_cpus,Successful
num_cpus_online,Successful
num_dies,Successful
num_packages,Successful
smt_on,Successful
system_time,Successful
system_tsc_freq,Successful
user_time,Successful
dtlb_load_misses.stlb_hit,Successful
dtlb_load_misses.walk_active,Successful
dtlb_load_misses.walk_completed,Successful
dtlb_load_misses.walk_completed_1g,Successful
dtlb_load_misses.walk_completed_2m_4m,Successful
dtlb_load_misses.walk_completed_4k,Successful
dtlb_load_misses.walk_pending,Successful
dtlb_store_misses.stlb_hit,Successful
dtlb_store_misses.walk_active,Successful
dtlb_store_misses.walk_completed,Successful
dtlb_store_misses.walk_completed_1g,Successful
dtlb_store_misses.walk_completed_2m_4m,Successful
dtlb_store_misses.walk_completed_4k,Successful
dtlb_store_misses.walk_pending,Successful
itlb_misses.stlb_hit,Successful
itlb_misses.walk_active,Successful
itlb_misses.walk_completed,Successful
itlb_misses.walk_completed_2m_4m,Successful
itlb_misses.walk_completed_4k,Successful
itlb_misses.walk_pending,Successful
longest_lat_cache.miss,Zero value
longest_lat_cache.reference,Zero value
mem_load_l3_hit_retired.xsnp_fwd,Zero value
mem_load_l3_hit_retired.xsnp_miss,Zero value
mem_load_l3_hit_retired.xsnp_no_fwd,Zero value
mem_load_l3_hit_retired.xsnp_none,Zero value
mem_load_l3_miss_retired.local_dram,Zero value
mem_load_l3_miss_retired.remote_dram,Zero value
mem_load_l3_miss_retired.remote_fwd,Zero value
mem_load_l3_miss_retired.remote_hitm,Zero value
mem_load_misc_retired.uc,Zero value
mem_load_retired.l3_hit,Zero value
mem_load_retired.l3_miss,Zero value
offcore_requests.all_requests,Zero value
offcore_requests.data_rd,Zero value
offcore_requests.demand_code_rd,Zero value
offcore_requests.demand_data_rd,Zero value
offcore_requests.demand_rfo,Zero value
offcore_requests_outstanding.cycles_with_data_rd,Zero value
offcore_requests_outstanding.cycles_with_demand_code_rd,Zero value
offcore_requests_outstanding.cycles_with_demand_data_rd,Zero value
offcore_requests_outstanding.cycles_with_demand_rfo,Zero value
offcore_requests_outstanding.data_rd,Zero value
offcore_requests_outstanding.demand_code_rd,Zero value
offcore_requests_outstanding.demand_data_rd,Zero value
offcore_requests_outstanding.demand_rfo,Zero value
sq_misc.bus_lock,Zero value
sw_prefetch_access.nta,Zero value
assists.fp,Zero value
assists.sse_avx_mix,Zero value
fp_arith_inst_retired.128b_packed_single,Zero value
fp_arith_inst_retired.256b_packed_double,Zero value
fp_arith_inst_retired.256b_packed_single,Zero value
fp_arith_inst_retired.4_flops,Zero value
fp_arith_inst_retired.512b_packed_double,Zero value
fp_arith_inst_retired.512b_packed_single,Zero value
fp_arith_inst_retired.8_flops,Zero value
fp_arith_inst_retired2.128b_packed_half,Zero value
fp_arith_inst_retired2.256b_packed_half,Zero value
fp_arith_inst_retired2.512b_packed_half,Zero value
fp_arith_inst_retired2.complex_scalar_half,Zero value
fp_arith_inst_retired2.scalar,Zero value
fp_arith_inst_retired2.scalar_half,Zero value
fp_arith_inst_retired2.vector,Zero value
cycle_activity.cycles_l3_miss,Zero value
cycle_activity.stalls_l3_miss,Zero value
mem_trans_retired.store_sample,Zero value
memory_activity.stalls_l3_miss,Zero value
offcore_requests.l3_miss_demand_data_rd,Zero value
offcore_requests_outstanding.cycles_with_l3_miss_demand_data_rd,Zero value
offcore_requests_outstanding.l3_miss_demand_data_rd,Zero value
rtm_retired.aborted,Zero value
rtm_retired.aborted_events,Zero value
rtm_retired.aborted_mem,Zero value
rtm_retired.aborted_memtype,Zero value
rtm_retired.aborted_unfriendly,Zero value
rtm_retired.commit,Zero value
rtm_retired.start,Zero value
tx_mem.abort_capacity_read,Zero value
tx_mem.abort_capacity_write,Zero value
tx_mem.abort_conflict,Zero value
exe.amx_busy,Zero value
xq.full_cycles,Zero value
cpu_clk_unhalted.c01,Zero value
cpu_clk_unhalted.c02,Zero value
cpu_clk_unhalted.distributed,Zero value
cpu_clk_unhalted.one_thread_active,Zero value
cpu_clk_unhalted.ref_distributed,Zero value
inst_retired.prec_dist,Zero value
int_vec_retired.mul_256,Zero value
int_vec_retired.vnni_128,Zero value
int_vec_retired.vnni_256,Zero value
misc_retired.lbr_inserts,Zero value
topdown.slots,Zero value
uops_executed.x87,Zero value
has_pmem,Zero value
ocr.demand_code_rd.l3_hit,Failed
ocr.demand_code_rd.l3_hit.snoop_hitm,Failed
ocr.demand_data_rd.l3_hit,Failed
ocr.demand_data_rd.l3_hit.snoop_hit_no_fwd,Failed
ocr.demand_data_rd.l3_hit.snoop_hit_with_fwd,Failed
ocr.demand_data_rd.l3_hit.snoop_hitm,Failed
ocr.demand_data_rd.remote_cache.snoop_hit_with_fwd,Failed
ocr.demand_data_rd.remote_cache.snoop_hitm,Failed
ocr.demand_rfo.l3_hit,Failed
ocr.demand_rfo.l3_hit.snoop_hitm,Failed
ocr.reads_to_core.l3_hit,Failed
ocr.reads_to_core.l3_hit.snoop_hitm,Failed
ocr.reads_to_core.remote_cache.snoop_fwd,Failed
ocr.reads_to_core.remote_cache.snoop_hit_with_fwd,Failed
ocr.reads_to_core.remote_cache.snoop_hitm,Failed
ocr.reads_to_core.snc_cache.hit_with_fwd,Failed
ocr.reads_to_core.snc_cache.hitm,Failed
ocr.rfo_to_core.l3_hit_m,Failed
frontend_retired.any_ant,Failed
frontend_retired.any_dsb_miss,Failed
frontend_retired.dsb_miss,Failed
frontend_retired.itlb_miss,Failed
frontend_retired.l1i_miss,Failed
frontend_retired.l2_miss,Failed
frontend_retired.late_swpf,Failed
frontend_retired.latency_ge_1,Failed
frontend_retired.latency_ge_128,Failed
frontend_retired.latency_ge_16,Failed
frontend_retired.latency_ge_2,Failed
frontend_retired.latency_ge_256,Failed
frontend_retired.latency_ge_2_bubbles_ge_1,Failed
frontend_retired.latency_ge_32,Failed
frontend_retired.latency_ge_4,Failed
frontend_retired.latency_ge_512,Failed
frontend_retired.latency_ge_64,Failed
frontend_retired.latency_ge_8,Failed
frontend_retired.misp_ant,Failed
frontend_retired.ms_flows,Failed
frontend_retired.stlb_miss,Failed
frontend_retired.unknown_branch,Failed
mem_trans_retired.load_latency_gt_1024,Failed
mem_trans_retired.load_latency_gt_128,Failed
mem_trans_retired.load_latency_gt_16,Failed
mem_trans_retired.load_latency_gt_2048,Failed
mem_trans_retired.load_latency_gt_256,Failed
mem_trans_retired.load_latency_gt_32,Failed
mem_trans_retired.load_latency_gt_4,Failed
mem_trans_retired.load_latency_gt_512,Failed
mem_trans_retired.load_latency_gt_64,Failed
mem_trans_retired.load_latency_gt_8,Failed
ocr.demand_code_rd.l3_miss,Failed
ocr.demand_data_rd.l3_miss,Failed
ocr.demand_rfo.l3_miss,Failed
ocr.reads_to_core.l3_miss,Failed
ocr.reads_to_core.l3_miss_local,Failed
ocr.reads_to_core.l3_miss_local_socket,Failed
ocr.demand_code_rd.any_response,Failed
ocr.demand_code_rd.dram,Failed
ocr.demand_code_rd.local_dram,Failed
ocr.demand_data_rd.any_response,Failed
ocr.demand_data_rd.dram,Failed
ocr.demand_data_rd.local_dram,Failed
ocr.demand_data_rd.remote_dram,Failed
ocr.demand_rfo.any_response,Failed
ocr.demand_rfo.dram,Failed
ocr.demand_rfo.local_dram,Failed
ocr.modified_write.any_response,Failed
ocr.reads_to_core.any_response,Failed
ocr.reads_to_core.dram,Failed
ocr.reads_to_core.local_dram,Failed
ocr.reads_to_core.local_socket_dram,Failed
ocr.reads_to_core.remote,Failed
ocr.reads_to_core.remote_dram,Failed
ocr.reads_to_core.remote_memory,Failed
ocr.reads_to_core.snc_dram,Failed
ocr.streaming_wr.any_response,Failed
ocr.write_estimate.memory,Failed
int_misc.unknown_branch_cycles,Failed
uops_retired.ms,Failed
mem:<addr>[/len][:access],Failed
